content,aspect,sentiment,from,to
"the cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",outdoor chairs,2,49,63
the dinner menu is diverse and top-notch as well.,dinner menu,2,4,15
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",steak,2,49,54
"stick to dimsum, not super overpriced noodles .",noodles,1,38,45
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,2,29,34
we were disappointed with the pre-fixe menu of only 2 choices per course (other restaurants offer 3 choices) and ended up ordering a la carte.,choices per course,1,54,72
"after complaining about the chicken dish , the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",chicken dish,0,28,40
"haru serves very fresh fish , has a trendy, modern ambiance, prime location on park avenue south and friendly service.",fish,2,23,27
the food is inventive but still keeps traditional indian flavoring.,food,2,4,8
"the food was really good, i had the onion soup and it was one of the best ever.",food,2,4,8
"i must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,0,270,278
they are served with a free appetizer and the portions are perfect for lunch .,lunch,1,71,76
"given the incredible architecture surrounding it, this place has no character.",place,0,55,60
okay service .,service,1,5,12
a great way to make some money is to buy a case of snapple from costco and sell it right outside for only $2.50.,case of snapple,1,43,58
"however, i was there for a work dinner not long ago when my colleague from london noticed a very large waterbug on the ceiling.",dinner,1,32,38
"not the greatest sushi place , but excellent for a $19.95 all you can eat.",sushi place,0,17,28
the owner truly caters to all your needs.,owner,2,4,9
great place to grab a hot bagel on the way to work.,hot bagel,2,22,31
"the food was below average, the service was pathetic, there was no ambience at all.",food,0,4,8
"while this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely indian without being heavy or same old restaurant burn-outs.",dishes,2,128,134
a thai restaurant out of rice during dinner ?,dinner,1,37,43
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats ).,meats,1,152,157
"stick to dimsum , not super overpriced noodles.",dimsum,2,9,15
"great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom .",bathroom,2,121,129
"while we enjoyed the food, we were highly disappointed by the poor service (waiter was not quite competent and slow service ) and lack of remorse.",service,0,116,123
the food was mediocre at best but it was the horrible service that made me vow never to go back.,food,1,4,8
threw my fiance's surprise 30th birthday dinner here couldn't be happier.,dinner,1,41,47
"i didn't complain, i liked the atmosphere so much.",atmosphere,2,31,41
i also ordered for delivery and the restaurant forgot half the order.,delivery,0,19,27
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,0,126,131
"i haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",salads,2,51,57
"the food was undercooked-the sauce watery, and the vegetables raw.",food,0,4,8
"best italian food i ever had (and being italian, that means alot).",italian food,2,5,17
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,dessert,2,98,105
"the staff has always been friendly without seeming grating, and the chef has greeted us on a couple of occasions.",chef,2,68,72
good food .,food,2,5,9
"great food , lt's of it, more then one person can eat!",food,2,6,10
"late nite omelletes are not good here, there is no variety!",omelletes,0,10,19
"on the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with alain ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",ambiance,1,118,126
"we live in new jersey and whenever we go into new york city we buy bagels to eat hot and then to freeze (they told me that if i call in the order, they'd bring it out to the car so i wouldn't have to look for parking).",bagels,1,67,73
"if the weather is nice, try to snag an outside table .",table,2,47,52
"the service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,2,4,11
"service here was great, food was fantastic.",food,2,24,28
"spice is sleek, modern and cool with a menu that will not hurt your wallet.",menu,2,39,43
"dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,1,8,19
"good atmosphere, combination of all the hottest music dress code is relatively strict except on fridays.",music,2,48,53
"for some reason, all the seafood on the menu was unavailable except for the salmon.",menu,0,40,44
"the food is very good too but for the most part, it's just regular food , nothing special.",food,1,67,71
"over time, the food quality has decreased substantially, it is a lot less crowded than it used to, and the service must definitely be part of the reason.",service,0,107,114
highly recommend this as great value for excellent sushi and service.,value,2,31,36
right off the l in brooklyn this is a nice cozy place with good pizza.,place,2,48,53
"quality ingredients preparation all around, and a very fair price for nyc.",ingredients,2,8,19
lived in shanghai most of my life and thought the food was comparable to the flagship green bo restaurant there.,food,2,50,54
"after 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",beers,1,90,95
"it cannot be the ambience , because the place is very cramped and some guests have to sit in an aisle.",ambience,0,17,25
pizza here is consistently good.,pizza,2,0,5
and the bill was outragous.,bill,0,8,12
the design and atmosphere is just as good.,design,2,4,10
just got back from lunch at tamarind and it was excellent.,lunch,2,19,24
"the signs, the specials menus , food, and even all the waitstaff are all totally japanese.",specials menus,2,15,29
no free drink .,drink,1,8,13
"for all of you new to indian food, try the paneer roll , it is a piece of heaven.",paneer roll,2,43,54
"over the years the host, vittorio, and his crew , have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",crew,2,43,47
"while certain staples are excellent (the burger, some of the pastas), the food is not really the point.",food,1,74,78
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan.,feel,2,68,72
the makhani was ok --the korma was bland.,korma,0,25,30
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,1,82,88
we arrived on time for our reservation and seated promptly.the,reservation,2,27,38
by far the best salad i have had in a fast food restaurant.,fast food,1,38,47
"we figured we never had argentinian pizza before so we grabbed our lunch there, sharing a large pelligrino, a pizza of two of their specials, one was goat cheese the other blue cheese, and both were excellent.",argentinian pizza,1,24,41
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,2,82,87
the service is fantastic.,service,2,4,11
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,prix fixe menu,2,4,18
and their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,food,0,120,124
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,2,67,77
the rice to fish ration was also good--they didn't try to overpack the rice .,rice,2,71,75
the service was great as well.,service,2,4,11
"i highly recommend cafe st. bart's for their food, the ambience and wonderful service.",ambience,2,55,63
"in terms of the food itself -- nothing special, we limited ourselves to several appetizers .",appetizers,1,80,90
the corned beef was tender and melted in my mouth.,corned beef,2,4,15
love the jazz bands on fri and sat.,jazz bands,2,9,19
great indian food and the service is incredible.,service,2,26,33
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,2,35,53
they showed up 15 minutes after the tuna melt.,tuna,2,36,40
our waiter and all of the people helping him were attentive and genuine.,waiter,2,4,10
"i've been to this restaurant more than a dozen times and when i'm craving for pho, lemon grass chicken or beef cube on rice, this is the place to go.",lemon grass chicken,2,83,102
the sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,sauce on the pizza,2,4,22
"only complaint would be that at an average cost of $12-$15 per meal, i'd like not to have to worry about finding a seat !",seat,0,115,119
"it might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",rice,1,91,95
"the food was delicious (i had a halibut special, my husband had steak ), and the service was top-notch.",steak,2,64,69
"service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",service,2,0,7
one of us actually liked the expresso - that's it.,expresso,2,29,37
i went to del frisco's friday night with my boyfriend for an 8:00 reservation .,reservation,1,66,77
spreads and toppings are great - though a bit pricey.,spreads,2,0,7
"however, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",glass front,0,115,126
horrible food and horrible service.,food,0,9,13
"while the food was excellent, it wasn't cheap (though not extremely expensive either).",food,2,10,14
jimmy's is hands down the hottest night spot in the bronx.,spot,2,40,44
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,0,12,17
"good crowd, good outdoor seating, with a hip japanese vibe .",vibe,2,54,58
the pizza is yummy and i like the atmoshpere .,atmoshpere,2,34,44
"when he finally did, he was unable to make a gin and tonic -- couldn't find tonic .",tonic,1,76,81
"i've had the chicken with garlic sauce, chicken with black bean sauce , and hunan chicken.",chicken with black bean sauce,1,40,69
the waitress suggested glasses of wine that went very well with the food.,waitress,2,4,12
"while this can hardly be called a restaurant, it is possibly the best deal in manhatten: $4 for a plate heaped with rice and 2-3 entrees .",entrees,2,129,136
"they never brought us complimentary noodles , ignored repeated requests for sugar, and threw our dishes on the table.",noodles,0,36,43
service was good and food is wonderful.,food,2,21,25
they have some great entrees here as well.,entrees,2,21,28
"my co-workers had to wait almost an hour for delivery , only to discover that what they got was not what they ordered.",delivery,0,45,53
"if you like the food and the value you get from some of chinatown restaurants, this is not the place for you.",food,1,16,20
"while we enjoyed the food, we were highly disappointed by the poor service ( waiter was not quite competent and slow service) and lack of remorse.",waiter,0,77,83
"the service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served.",service,0,4,11
"i recommend the jelly fish , drunken chicken and the soupy dumplings, certainly the stir fry blue crab.",jelly fish,2,16,26
"it is about food and ambiance, and imagine how dreadful it will be it we only had to listen to an idle engine.",food,0,12,16
"especially liked chicken tikka and the naan , and the dals.",naan,2,39,43
pair you food with the excellent beers on tap or their well priced wine list.,beers on tap,2,33,45
since my first dinner i have had the chance to have brunch at orsay 3x.,brunch,1,52,58
"our waiter was fine, the place looks nice in that not-trying-too-hard way, but at those prices, a little more should be expected of your food .",food,0,137,141
my steak au poivre was one of the worst i've had.,steak au poivre,0,3,18
"the bread and lamb chops i had before the meal were quite good, however.",bread,2,4,9
the octopus eaters were floored by the octopus salad .,octopus salad,2,39,52
"i like the somosas, chai, and the chole , but the dhosas and dhal were kinda dissapointing.",chole,2,34,39
wonderful strawberry daiquiries as well!,strawberry daiquiries,2,10,31
"most of the servers are very attentive, friendly and quite attractive.",servers,2,12,19
food was ok - fish was cooked well.,food,1,0,4
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,0,73,80
"it costs $2 extra to turn a regular roll into an inside-out roll , but the roll more than triples in size, and that's not just from the rice.",roll,0,60,64
wouldn't recomend it for dinner !,dinner,0,25,31
such nice people working here - but i have to review the food .,food,1,57,61
make sure you have the spicy scallop roll .. .,spicy scallop roll,2,23,41
i highly recommend visiting this restaurant and having dinner and drinks !,drinks,2,66,72
"i almost wanted to write a bad review, so no one would ever go here and i could have all the dumplings to myself!",dumplings,2,93,102
decor leaves something to be desired.,decor,0,0,5
baluchi's has solid food and a nice decor at reasonable prices.,food,2,20,24
there is also very limited seating and there can be a substantial wait in getting food at peak times.,wait,0,66,70
"barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",barbecued codfish,2,0,17
"when going out for a nice dinner, i like a nice ambiance as well as very good food.",ambiance,2,48,56
"dessert - can't be missed, so save room!!!",dessert,2,0,7
"complimentary stuff kept coming, and when the waiter saw me opening a gift, i received my dessert on a plate that had happy birthday written on it, with a candlevery nice touch, and attentive staff .",staff,2,192,197
it is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,tables,0,26,32
"while sapphire is certainly not lacking in ambiance , and probably has the best decor of any indian restaurant i have been to in new york city, the food was not what i had hoped for.",ambiance,2,43,51
"the atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,2,4,14
the spicy tuna roll is huge and probably the best that i've had at this price range .,price range,2,72,83
the zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,zucchini,2,4,12
i had to share my table with a loud group of kids and the service was rude an unattentive.,service,0,58,65
"aside from the rushed service , we were very impressed with the food and the drinks.",service,0,22,29
try the lobster teriyaki and the rose special roll .,rose special roll,2,33,50
"with the great variety on the menu , i eat here often and never get bored .",menu,2,30,34
"where tanks in other chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",tanks,2,122,127
"unfortunately, the food was not something to get worked up about.",food,0,19,23
"we asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",area,0,87,91
"my host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",appetizers,1,18,28
"the dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of chinese here).",little dishes,0,56,69
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables ) and got our order wrong.",tables,1,101,107
we went to eat at the jekyll and hyde restaurant on friday night and really enjoyed the fun atmosphere and good food.,atmosphere,2,92,102
the garlic mashed potatoes are hands down the best in the city!,garlic mashed potatoes,2,4,26
i've read some of the previews reviews - people are either not new yorkers or have more appreciation for ambience then food .,food,1,119,123
if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,bottle minimun,0,105,119
"if this happens, just ask for real naan .",naan,1,35,39
"from the appetizers we ate, the dim sum and other variety of foods, it was impossible to criticize the food.",appetizers,2,9,19
i had been a regular due to the consistently good food and ease of getting a table .,getting a table,2,67,82
"the back garden sitting area is very pleasant, where you can see their personal herb garden.",back garden sitting area,2,4,28
